stock_name,industry,cap,market_cap,pe_ratio,pb_ratio,div_yield,book_value,eps,roe
Sarda Energy & Minerals,Metals & Mining,Mid Cap,8034.29,14.62,2.19,0.66,104.1303395,15.6,15.3455
VIP Industries,Apparel & Luxury,Mid Cap,7770.97,105.09,10.86,0.82,50.4156672,5.21,18.9412
Allcargo Logistics,Air Freight & Logistics,Mid Cap,7462.26,34.36,2.94,1.07,25.8499734,2.21,11.749
Vaibhav Global,Apparel & Luxury,Mid Cap,7846.8,60.4,6.42,1.26,73.894957,7.85,9.9231
Archean Chemical Industries,Chemicals,Mid Cap,8132.48,20.44,5.19,0.38,127.0545222,32.25,25.1589
Religare Enterprises,Insurance,Mid Cap,7807.8,2.18,3.55,0.0,66.7909043,108.87,9.1143
KRBL,Food Products,Mid Cap,8111.86,13.53,1.76,0.29,201.3806284,26.2,14.5652
Quess Corp,Professional Services,Mid Cap,7437.28,34.33,2.75,1.59,182.0750208,14.59,7.4146
Arvind,Textiles,Mid Cap,8110.54,24.24,2.41,1.85,128.5041617,12.79,9.7262
Shriram Pistons & Rings,Auto Components,Mid Cap,7579.21,18.31,4.4,0.44,391.46191,93.97,21.9951
KNR Constructions,Construction,Mid Cap,7597.55,13.29,2.49,0.09,108.6972449,20.32,17.5836
Jubilant Ingrevia,Chemicals,Mid Cap,7562.67,36.72,2.8,1.05,169.5158718,12.93,9.5898
Just Dial,Media & Services,Mid Cap,7272.48,21.99,1.91,0.0,448.8792089,38.9,8.2295
Saregama India,Entertainment,Mid Cap,7855.49,41.87,5.93,0.74,68.5953343,9.72,13.1361
Keystone Realtors Ltd,,Mid Cap,7705.9,48.75,4.45,0.0,152.0350621,13.88,7.6948
Balrampur Chini Mills,Food Products,Mid Cap,7502.05,12.81,2.38,0.67,156.0298292,29.02,17.1699
Avanti Feeds,Food Products,Mid Cap,6895.39,19.9,3.15,1.23,160.7744529,25.43,15.3574
Strides Pharma Science,Pharmaceuticals,Mid Cap,7472.61,0.0,3.64,0.18,223.6546493,-10.7,-6.5476
Tamilnad Mercantile Bank,Banks,Mid Cap,7869.28,7.34,1.03,1.01,484.2482504,67.7,13.98018028789483
PDS Limited,Apparel & Luxury,Mid Cap,7374.5,47.56,6.75,0.9,82.8630031,11.76,19.9535
Supreme Petrochem,Chemicals,Mid Cap,12197.3,32.55,6.56,1.7,98.8778079,19.93,21.3506
FDC,Pharmaceuticals,Mid Cap,7082.24,24.45,3.59,0.0,121.1534789,17.79,12.7335
Sandur Manganese & Iron Ores,Metals & Mining,Mid Cap,7364.49,29.49,3.71,0.18,122.5146779,15.41,14.2084
Triveni Engineering & Industries,Food Products,Mid Cap,7402.03,17.44,2.75,0.96,122.9463124,19.39,16.1377
Marksans Pharma,Pharmaceuticals,Mid Cap,7558.77,23.83,4.03,0.3,41.3888223,7.0,15.8625
Vesuvius India,Machinery,Mid Cap,7405.74,34.78,6.2,0.35,587.9507389,104.9,17.841
Campus Activewear,Apparel & Luxury,Mid Cap,7355.75,92.34,12.42,0.0,19.4097175,2.61,17.3956
India Cements,Building Materials,Mid Cap,7542.9,0.0,1.45,0.0,167.6390456,-12.7,-7.613
Star Cement,Building Materials,Mid Cap,8615.11,28.38,3.38,0.0,63.0672352,7.51,11.0989
Texmaco Rail & Engineering,Machinery,Mid Cap,7170.34,83.13,3.22,0.07,58.0333583,2.25,4.8073
Balaji Amines,Chemicals,Mid Cap,7341.9,39.85,4.56,0.44,496.4345854,56.86,12.274
South Indian Bank,Banks,Mid Cap,7236.7,6.49,0.98,0.87,35.33497,5.33,15.097040994951413
Chemplast Sanmar,Chemicals,Mid Cap,7133.9,0.0,26.91,0.0,16.7690533,-5.14,1.9385
Genus Power Infrastructures,Tech Hardware,Mid Cap,7081.09,138.74,6.05,0.27,45.3689361,1.98,7.0923
Indigo Paints,Chemicals,Mid Cap,7116.96,49.49,8.67,0.23,172.3206592,30.2,16.1308
HEG,Electrical Equip.,Mid Cap,6562.01,17.34,1.51,2.5,1126.8243266,98.07,10.1059
Laxmi Organic Industries,Chemicals,Mid Cap,7366.6,73.3,4.29,0.18,62.3878461,3.65,6.896
Kirloskar Brothers,Machinery,Mid Cap,7171.42,24.21,4.87,0.5,185.3672955,37.3,20.5842
Nava,Industrial Conglomerates,Mid Cap,7499.53,7.62,1.17,1.16,440.1092797,67.83,14.1095
Ion Exchange (India),Commercial Serv,Mid Cap,7142.66,34.86,7.99,0.26,60.9523041,13.97,22.9987
Jindal Worldwide,Textiles,Mid Cap,6929.99,93.66,10.31,0.06,33.5335427,3.69,10.074
Garware Technical Fibres,Textiles,Mid Cap,7094.66,35.76,6.34,0.1,549.0592747,97.35,17.1318
Borosil Renewables,Semiconductors,Mid Cap,7503.03,668.37,8.02,0.0,71.6533787,0.86,0.247
Spandana Sphoorty Financial,Consumer Finance,Mid Cap,7054.01,14.77,2.1,0.0,471.9849379,67.1,12.5488
Surya Roshni,Metals & Mining,Mid Cap,6927.35,18.19,3.49,0.54,182.2134134,35.0,19.1885
Zen Technologies,Tech Hardware,Mid Cap,6819.77,60.15,17.69,0.02,45.8583044,13.49,23.1784
Waaree Renewables,Energy,Mid Cap,8785.82,82.72,77.89,0.02,54.1506716,50.99,59.2191
Edelweiss Financial Services,Capital Markets,Mid Cap,6911.19,17.23,1.57,1.95,46.7209387,4.25,8.5601
Voltamp Transformers,Electrical Equip.,Mid Cap,7569.88,26.07,6.49,0.8,1152.494109,287.04,21.1445
Utkarsh Small Finance Bank,Banks,Mid Cap,6215.51,13.19,2.31,0.0,24.4780956,4.29,17.544786197109335
Ujjivan Financial Services,Consumer Finance,Mid Cap,6714.29,8.18,1.85,0.91,298.6887777,67.42,22.9158
Sunteck Realty,,Mid Cap,6755.95,0.0,2.46,0.33,187.7463427,-3.98,-1.6929
Transport Corporation of India,Air Freight & Logistics,Mid Cap,6739.75,20.41,3.62,0.81,239.5901154,42.53,18.0904
Shrem InvIT,,Mid Cap,6667.28,7.74,1.07,0.0,108.8614148,14.98,
Greenlam Industries,Building Products,Mid Cap,6823.93,47.59,6.66,0.28,80.3483611,11.24,14.3249
Sarda Energy & Minerals,Metals & Mining,Mid Cap,8034.29,14.62,2.19,0.66,104.1303395,15.6,15.3455
Paradeep Phosphates,Chemicals,Mid Cap,6394.89,72.68,1.86,0.64,42.1695481,1.08,4.6511
ELANTAS Beck India,Chemicals,Mid Cap,6637.77,52.35,10.06,0.06,832.3089533,159.88,18.0246
Prince Pipes & Fittings,Building Products,Mid Cap,6573.41,29.61,4.54,0.0,131.0180845,20.08,15.171
Hindustan Construction Company,Construction,Mid Cap,6571.08,15.57,0.0,0.0,-4.3318238,2.79,35.046
JK Paper,Paper & Wood Prods,Mid Cap,6510.98,5.78,1.41,2.08,272.0471414,66.49,26.4856
India Shelter Finance Corporation,,Mid Cap,6696.58,30.06,3.08,0.0,203.2070871,20.81,14.5948
SIS,Commercial Serv,Mid Cap,6567.63,22.28,2.65,0.0,169.8749509,20.23,14.5941
Force Motors,Machinery,Mid Cap,6890.17,17.47,3.4,0.19,1536.9119879,299.28,9.1732
CSB Bank,Banks,Mid Cap,6320.96,11.06,1.9,0.0,191.4129923,32.95,17.216313135187747
Go Fashion (India),Specialty Retail,Mid Cap,6420.86,75.96,11.34,0.0,104.854756,15.65,15.082
ISGEC Heavy Engineering,Machinery,Mid Cap,6325.74,24.47,2.64,0.35,325.7186062,35.16,10.8368
Gravita India,Metals & Mining,Mid Cap,6381.52,27.27,9.55,0.47,96.823259,33.9,33.5029
Apollo Tricoat Tubes Ltd. - (Amalgamted),Trading Companies,,,,,,,,
Tata Coffee,Food Products,Mid Cap,6439.84,35.84,3.47,0.87,99.3276951,9.62,9.6817
Vijaya Diagnostic Centre,Health Care,Mid Cap,6518.02,57.73,10.92,0.16,58.3513387,11.04,17.3244
Wockhardt,Pharmaceuticals,Mid Cap,7019.88,0.0,2.25,0.0,216.8435711,-34.83,-13.6345
Ganesh Housing Corporation,,Mid Cap,6353.68,16.11,4.75,0.31,160.3248764,47.3,23.56
Hemisphere Properties India,,Mid Cap,6431.03,0.0,17.75,0.0,12.7095614,-0.22,-1.7935
NIIT Learning Systems ,Consumer Services,Mid Cap,6496.8,30.55,7.34,0.0,65.5305968,15.75,22.8319
Share India Securities,Capital Markets,Mid Cap,6285.06,15.1,5.12,0.44,374.2104977,126.84,32.2743
Azad Engineering,Machinery,Mid Cap,6584.01,112.62,10.44,0.0,106.6666949,9.89,19.7459
R Systems International,IT Services,Mid Cap,5554.35,39.65,9.08,1.45,51.6840693,11.84,22.9142
Symphony,Household Durables,Mid Cap,6296.81,54.29,9.25,0.56,98.7269458,16.82,16.7401
LT Foods,Food Products,Mid Cap,6573.5,11.48,2.15,0.53,88.0170679,16.49,16.9111
Jaiprakash Associates,Industrial Conglomerates,Mid Cap,6077.58,0.0,0.0,0.0,-6.8362823,-4.98,30.9553
GMM Pfaudler,Machinery,Mid Cap,6221.86,31.71,6.68,0.14,207.2551109,43.65,19.6628
Inox Leisure Ltd. - (Amalgamated),Entertainment,Mid Cap,6213.6,0.0,8.75,0.0,58.028801,-4.24,-1.7991
Arvind Fashions,Specialty Retail,Mid Cap,6131.7,91.16,6.78,0.22,68.0342537,5.06,2.6802
Cyient DLM,Tech Hardware,Mid Cap,6224.34,121.87,7.0,0.0,112.1873166,6.44,4.3067
Nesco,,Mid Cap,6263.19,18.28,2.99,0.51,297.5901479,48.62,15.2092
EPL,Packaging,Mid Cap,6125.61,22.27,3.05,2.23,63.0090716,8.64,12.5567
Tips Industries,Entertainment,Mid Cap,6203.0,51.82,33.86,0.1,14.2655083,9.32,57.4584
Jai Corp,Packaging,Mid Cap,6039.62,0.0,4.18,0.15,81.0254817,-0.56,2.2616
Sindhu Trade Links,Air Freight & Logistics,Mid Cap,6005.81,29.51,4.08,0.0,9.5552804,1.32,13.8568
Astra Micro Wave Products,Tech Hardware,Mid Cap,6389.32,79.64,7.35,0.22,91.5776216,8.45,7.4171
Rain Industries,Chemicals,Mid Cap,6730.36,24.89,0.79,0.5,253.3463951,8.04,8.963
Paisalo Digital,Consumer Finance,Mid Cap,6418.77,40.04,5.22,0.07,27.409985,3.57,10.7069
MSTC,Trading Companies,Mid Cap,6763.68,29.04,7.56,1.56,127.045696,33.08,25.7085
Senco Gold,Specialty Retail,Mid Cap,6087.2,34.79,4.93,0.14,159.0000897,22.52,13.6814
JSW Holdings,Capital Markets,Mid Cap,6917.19,42.25,0.3,0.0,20778.2455856,147.51,0.6892
Mrs Bectors Food Specialities,Food Products,Mid Cap,6066.43,45.14,10.01,0.29,103.0529591,22.85,21.0453
Hindustan Foods,Food Products,Mid Cap,5928.01,65.64,14.01,0.0,37.5240947,8.01,20.1717
Dodla Dairy,Food Products,Mid Cap,6028.4,42.33,5.73,0.0,176.7902812,23.94,12.9768
India Tourism Development Corp,Hotels & Leisure,Mid Cap,5899.22,85.98,16.41,0.32,41.9121738,8.0,20.3684
MOIL,Metals & Mining,Mid Cap,5927.52,20.94,2.51,1.27,116.2261915,13.91,11.3553
ASK Automotive,Auto Components,Mid Cap,5941.88,39.97,8.26,0.0,36.4990022,7.54,17.7554
HG Infra Engineering (Part IX),Construction,Mid Cap,6018.55,11.59,2.79,0.14,331.4008428,79.71,25.3879
Gujarat Alkalies & Chemicals,Chemicals,Mid Cap,5951.58,0.0,0.99,2.91,816.9839325,-16.29,1.378
KPI Green Energy,Energy,Mid Cap,8916.7,59.28,11.87,0.12,124.5812797,24.95,41.311
PTC India,Energy,Mid Cap,5779.6,11.4,1.13,3.99,172.2350596,17.13,10.192
Blue Jet Healthcare,Pharmaceuticals,Mid Cap,5906.5,33.78,7.63,0.0,44.5982872,10.08,35.1868
Sterlite Technologies,Tech Hardware,Mid Cap,5417.59,56.33,2.54,0.74,53.5177549,2.41,10.9082
MTAR Technologies,Machinery,Mid Cap,5946.6,72.24,9.0,0.0,214.8687839,26.76,15.6315
CMS Info Systems,Commercial Serv,Mid Cap,5776.36,17.21,3.39,1.27,108.7219166,21.42,19.0413
Rolex Rings,Machinery,Mid Cap,5937.82,33.21,7.08,0.0,307.8804047,65.66,23.2089
Lloyds Engineering Works,Machinery,Mid Cap,5799.78,89.07,16.1,0.17,3.1529495,0.57,19.4124
SG Mart,Energy,Mid Cap,6278.78,230.09,6.64,0.0,1696.0552268,48.93,6.4172
GHCL,Chemicals,Small Cap,4936.96,5.51,1.8,3.39,287.0319238,93.56,32.2493
VRL Logistics,,Mid Cap,5232.37,20.09,5.76,0.84,103.9181816,29.78,16.7503
RattanIndia Power,Energy,Mid Cap,5697.68,0.0,0.0,0.0,-10.6429264,-4.19,37.5301
Dilip Buildcon,Construction,Mid Cap,6635.24,57.44,1.6,0.02,282.7820737,7.9,-2.1703
Nazara Technologies,Entertainment,Mid Cap,5597.0,82.76,4.76,0.0,177.719044,10.22,4.9573
Ethos,Specialty Retail,Mid Cap,5607.67,74.22,8.39,0.0,286.13164,32.36,10.581
Puravankara,,Mid Cap,5813.49,77.09,2.97,0.41,82.5740069,3.18,1.0275
Fusion Micro Finance,Consumer Finance,Mid Cap,5586.52,11.47,2.17,0.0,256.0928065,48.41,17.9722
ICRA,Capital Markets,Mid Cap,5516.16,38.68,6.15,2.27,929.9065902,147.75,16.6391
Patel Engineering,Construction,Mid Cap,5364.26,23.11,1.82,0.0,38.1679546,3.0,6.3426
MAS Financial Services,Consumer Finance,Mid Cap,5476.32,23.02,3.33,0.36,300.8782608,43.53,13.7208
Choice International,Capital Markets,Mid Cap,5427.59,45.0,10.98,0.0,49.6006801,12.1,17.7815
IFB Industries,Household Durables,Mid Cap,5427.65,191.08,7.91,0.0,169.3780849,7.01,1.4307
Sansera Engineering,Auto Components,Mid Cap,5564.08,31.82,4.45,0.24,233.3568147,32.63,12.6256
Kennametal India,Machinery,Mid Cap,5294.34,69.38,7.25,0.83,332.4098017,34.72,10.4435
VST Industries,Tobacco,Mid Cap,5674.89,20.12,5.12,4.08,718.1865285,182.69,27.7154
Prudent Corporate Advisory Services,Capital Markets,Mid Cap,5498.6,40.61,13.68,0.11,97.0698786,32.7,31.8954
Indo Count Industries,Textiles,Mid Cap,5440.55,15.97,2.8,0.73,98.0029455,17.2,16.5045
Orient Cement,Building Materials,Mid Cap,5521.21,31.74,3.36,0.56,80.269343,8.49,9.5202
Ahluwalia Contracts (India),Construction,Mid Cap,6805.94,27.46,5.11,0.04,198.7233468,37.0,16.6901
Restaurant Brands Asia,Restaurants,Mid Cap,5762.74,0.0,7.83,0.0,14.8313356,-4.15,-29.9878
TeamLease Services,Professional Services,Mid Cap,5309.87,48.89,7.16,0.0,442.3718312,64.77,14.3665
Gateway Distriparks,Air Freight & Logistics,Mid Cap,5443.62,20.95,3.0,1.84,36.2989955,5.2,13.9437
Surya Roshni,Metals & Mining,Mid Cap,6927.35,18.19,3.49,0.54,182.2134134,35.0,19.1885
Suprajit Engineering,Auto Components,Mid Cap,5296.38,35.52,4.16,0.6,91.876808,10.77,11.5501
Gokaldas Exports,Apparel & Luxury,Mid Cap,5342.18,39.91,5.55,0.11,158.7891713,22.07,14.9561
Magellanic Cloud,IT Services,Mid Cap,7250.59,88.24,21.26,0.02,29.1755622,7.03,22.5153
National Fertilizers,Chemicals,Mid Cap,5156.0,0.0,2.35,2.65,44.7949366,-5.98,4.9851
TCI Express,Air Freight & Logistics,Small Cap,4623.07,33.37,7.75,0.66,155.5679019,36.14,0.0
Kesoram Industries,Building Materials,Mid Cap,5261.44,0.0,13.78,0.0,12.2920382,-5.34,2.1342
ITD Cementation India,Construction,Mid Cap,6153.43,27.72,4.64,0.21,77.1669656,12.92,13.5892
Gabriel India,Auto Components,Mid Cap,5233.67,31.49,5.6,0.7,65.0707154,11.57,16.2964
Indiabulls Real Estate,,Mid Cap,6431.85,0.0,2.11,0.0,56.2059022,-20.54,-21.2051
Protean e-Gov Technologies,IT Services,Mid Cap,5019.24,44.88,5.7,0.81,217.5742485,27.65,14.2088
Healthcare Global Enterprises,Health Care,Mid Cap,5357.38,152.04,6.25,0.0,61.5877138,2.53,4.324
Pricol,Auto Components,Mid Cap,5104.4,39.58,6.65,0.0,63.0206768,10.58,15.8386
AGI Greenpac,Packaging,Small Cap,4955.17,16.77,2.93,0.65,261.8095895,45.68,16.6196
Fedbank Financial Services Ltd,Consumer Finance,Small Cap,4794.41,22.21,2.28,0.0,56.8688012,5.85,13.4896
Inox Wind Energy,Electrical Equip.,Mid Cap,7588.59,0.0,5.99,0.0,1051.0893547,-133.06,-23.8543
Sula Vineyards,Beverages,Mid Cap,5210.02,55.42,9.91,1.35,62.2893507,11.14,17.1772
TARC,,Small Cap,4798.27,0.0,3.53,0.0,46.0784126,-0.8,0.8124
Wonderla Holidays,Hotels & Leisure,Mid Cap,5477.99,32.15,5.3,0.26,182.6287793,30.12,16.6465
PG Electroplast,Tech Hardware,Small Cap,4866.0,46.12,5.18,0.0,360.5952165,40.54,10.6632
Jayaswal Neco Industries,Metals & Mining,Mid Cap,5986.2,28.02,2.75,0.0,22.4055353,2.2,10.7237
Banco Products (India),Auto Components,Small Cap,4915.48,19.33,4.7,3.2,146.3677418,35.55,27.1335
Ion Exchange (India),Commercial Serv,Mid Cap,7142.66,34.86,7.99,0.26,60.9523041,13.97,22.9987
IIFL Securities,Capital Markets,Small Cap,4854.45,11.59,3.16,1.89,49.9820987,13.63,21.7128
Aarti Drugs,Pharmaceuticals,Small Cap,4898.08,27.18,4.05,0.19,130.6814255,19.46,14.9002
Transformers & Rectifiers (India),Electrical Equip.,Small Cap,4758.08,351.32,9.49,0.04,35.1565695,0.95,3.1007
DB Corp,Media,Mid Cap,5415.55,15.74,2.69,1.97,113.1818411,19.32,13.3129
Heidelberg Cement India,Building Materials,Small Cap,4817.79,31.17,3.46,3.29,61.3765496,6.82,9.251
Time Technoplast,Packaging,Small Cap,4888.05,17.36,2.07,0.58,104.1679785,12.41,10.6213
Tilaknagar Industries,Beverages,Small Cap,4492.05,27.12,7.88,0.1,29.6279739,8.61,20.1826
Garware Hi-Tech Films,Chemicals,Small Cap,4730.23,25.09,2.46,0.49,829.1450266,81.16,8.4655
Jamna Auto Industries,Machinery,Small Cap,4684.66,23.07,5.61,1.62,20.9525936,5.09,22.6524
J Kumar Infraprojects,Construction,Small Cap,4861.13,16.05,1.98,0.54,325.1885282,40.02,11.8352
Gensol Engineering,Construction,Small Cap,4854.17,115.05,16.83,0.0,76.1373758,11.14,9.426
Dhanuka Agritech,Chemicals,Small Cap,4972.37,20.26,4.19,0.18,260.4063425,53.84,20.733
Rallis India,Chemicals,Small Cap,4779.07,47.81,2.62,1.02,93.9197467,5.14,5.3669
Privi Speciality Chemicals,Chemicals,Small Cap,4824.24,96.11,5.58,0.0,221.2648827,12.85,3.1332
Sanghvi Movers,Trading Companies,Small Cap,4993.79,28.67,5.53,0.35,208.6349423,40.23,16.3457
Bajaj Hindusthan Sugar,Food Products,Small Cap,4647.04,0.0,1.1,0.0,33.1166326,-0.36,-2.9556
Aarti Pharmalabs Ltd.,Pharmaceuticals,Small Cap,4859.37,24.99,2.93,0.37,182.8970558,21.46,11.4291
TD Power Systems,Electrical Equip.,Small Cap,4283.75,34.37,6.54,0.36,41.963642,7.98,17.5247
Technocraft Industries (India),Machinery,Small Cap,4935.73,19.09,3.15,0.0,682.0976555,112.6,18.129
India Pesticides,Chemicals,Small Cap,4555.29,51.24,5.7,0.19,69.4409509,7.72,12.4728
NOCIL,Chemicals,Small Cap,4591.92,38.32,2.78,1.09,99.0481996,7.19,6.5673
Gallantt Ispat,Metals & Mining,Mid Cap,5346.79,27.02,2.32,0.0,95.4669895,8.2,7.2412
Dynamatic Technologies,Auto Components,Small Cap,4649.66,56.53,7.91,0.1,865.2821543,121.12,10.5878
Advanced Enzyme Technologies,Chemicals,Small Cap,4570.25,33.34,3.66,0.24,111.6290758,12.26,9.9959
Welspun Enterprises,Construction,Small Cap,4808.5,13.11,2.2,2.65,157.6456721,26.5,14.6386
Kewal Kiran Clothing,Apparel & Luxury,Small Cap,4632.06,31.28,7.5,0.67,100.1725488,24.03,22.9622
Black Box,IT Services,Small Cap,4629.97,38.62,13.18,0.0,20.9166932,7.14,37.2111
Borosil,Household Durables,Small Cap,4593.6,53.96,5.13,0.0,78.1620645,7.43,7.1214
Tinplate Company of India,Metals & Mining,Small Cap,4505.52,48.31,3.66,0.7,117.5762301,8.91,7.5786
Fineotex Chemical,Chemicals,Small Cap,4854.28,42.02,12.17,0.18,36.0038855,10.43,26.3293
Sharda Motor Industries,Auto Components,Small Cap,4614.5,16.88,5.48,1.11,283.2875379,91.94,28.9406
Va Tech Wabag,Water Utilities,Small Cap,4523.73,72.96,2.7,0.0,269.8708048,9.97,18.0491
Jana Small Finance Bank,,Small Cap,4382.86,10.6,1.58,0.0,265.8822288,39.54,14.871243859082925
Balmer Lawrie & Company,Industrial Conglomerates,Small Cap,4332.38,18.64,2.61,2.96,96.97081,13.59,12.1676
Shree Global Tradefin Ltd.,Trading Companies,Small Cap,4769.2,37.49,3.32,0.27,11.3088747,1.0,5.1786
Gulf Oil Lubricants India,Chemicals,Small Cap,4349.05,15.32,3.62,2.82,244.4426847,57.78,22.1872
Ashoka Buildcon,Construction,Small Cap,4893.01,15.08,2.53,0.0,68.908412,11.56,19.1737
Greenpanel Industries,Paper & Wood Prods,Small Cap,4417.65,24.29,3.47,0.42,103.7623069,14.83,14.5173
Kirloskar Pneumatic Company,Machinery,Small Cap,4708.22,44.71,5.75,0.76,126.4736713,16.26,12.5998
Spicejet,Airlines,Small Cap,4845.8,0.0,0.0,0.0,-82.7959799,-2.15,2.5954
Steel Strips Wheels,Auto Components,Small Cap,4010.33,19.43,3.43,0.39,74.5745215,13.15,15.5977
Hinduja Global Solutions,IT Services,Small Cap,4308.01,63.21,0.59,1.83,1575.5987705,14.65,1.0367
JTL Industries Ltd,Metals & Mining,Small Cap,4320.62,35.97,8.88,0.04,28.4460446,7.02,23.1452
Ramky Infrastructure,Construction,Small Cap,4238.02,3.19,2.61,0.0,234.3054262,191.84,14.6151
DCB Bank,Banks,Small Cap,4251.47,8.14,0.95,0.92,143.5409461,16.73,11.65300281667938
Aditya Vision,Specialty Retail,Small Cap,4158.85,54.72,23.32,0.22,148.2466642,63.18,41.1339
West Coast Paper Mills,Paper & Wood Prods,Small Cap,4348.73,5.11,1.47,1.52,448.4164421,128.76,33.0294
Samhi Hotels,Hotels & Leisure,Small Cap,4105.61,0.0,3.81,0.0,49.4498553,-14.66,-30.1871
Epigral,Chemicals,Small Cap,4377.1,22.41,3.88,0.47,271.5584278,47.01,19.802
Orissa Minerals Development Company,Metals & Mining,Small Cap,4090.11,0.0,0.0,0.0,-42.9856667,-17.58,84.37
Kovai Medical Center & Hospital,Health Care,Small Cap,4264.69,26.97,5.46,0.26,713.9839122,144.53,17.4304
Rossari Biotech,Chemicals,Small Cap,4120.24,32.83,4.21,0.07,177.0766744,22.72,11.9422
Equitas Holdings Ltd. - (Amalgamated),Consumer Finance,Small Cap,4098.06,16.16,1.15,0.0,104.3900908,7.42,7.9238
Jain Irrigation Systems,Machinery,Small Cap,4107.04,3.92,0.75,0.0,80.6035203,15.44,-1.1297
Yatharth Hospital & Trauma Care Services,Health Care,Small Cap,4196.36,44.93,5.2,0.0,93.9402498,10.88,10.5659
Delta Corp,Hotels & Leisure,Small Cap,3752.81,16.82,1.6,0.89,87.6945696,8.33,11.6404
Orient Electric,Household Durables,Small Cap,4344.13,49.9,7.06,0.73,28.8357508,4.08,13.0983
Ami Organics,Pharmaceuticals,Small Cap,4038.05,90.12,6.4,0.27,170.9602641,12.15,11.9001
Subros,Auto Components,Small Cap,4019.83,47.04,4.47,0.16,137.8013053,13.1,7.4375
Muthoot Microfin,Financial Services,Small Cap,4081.58,9.62,1.35,0.0,177.9807395,24.89,19.3628
Shanthi Gears,Machinery,Small Cap,4041.01,53.15,12.37,0.95,42.5885358,9.91,23.3074
Max Estates,,Small Cap,4038.11,0.0,3.44,0.0,79.8534329,-2.41,1.3248
Nucleus Software Exports,Software,Small Cap,3691.51,17.82,5.36,0.73,257.238632,77.36,29.6409
Grauer & Weil (India),Chemicals,Small Cap,3965.08,28.58,5.41,0.46,32.3423899,6.12,17.7982
Hawkins Cookers,Household Durables,Small Cap,3853.34,39.12,13.8,1.37,527.7504726,186.22,34.7052
Dish TV India,Media,Small Cap,4336.23,0.0,0.0,0.0,-4.1519385,-9.22,-27.4811
Nirlon,,Small Cap,3958.97,19.4,9.78,5.92,44.9329228,22.65,50.7528
Ashapura Minechem,Metals & Mining,Small Cap,3251.87,12.58,4.05,0.0,87.8225804,28.25,28.8824
Hathway Cable & Datacom,Media,Small Cap,4384.55,88.46,1.04,0.0,23.8797817,0.28,1.3376
eMudhra,Professional Services,Small Cap,3998.56,57.21,6.46,0.24,74.7971739,8.44,15.5625
Sudarshan Chemical Industries,Chemicals,Small Cap,3912.72,11.78,3.55,0.27,159.2409709,47.96,6.6754
Sanghi Industries,Building Materials,Small Cap,2957.83,0.0,2.22,0.0,51.5231142,-20.69,-42.5867
Sundaram Finance Holdings,Auto Components,Small Cap,4032.3,11.12,1.01,2.2,179.1043312,16.32,8.1587
V-Mart Retail,,Small Cap,3933.97,0.0,5.16,0.0,385.8022413,-47.93,-13.5065
Saksoft,IT Services,Small Cap,3021.31,30.84,6.64,0.24,42.9127355,9.24,20.9695
La Opala Rg,Household Durables,Small Cap,3960.48,29.71,4.78,1.4,74.5970811,12.01,14.9442
Sunflag Iron & Steel Co,Metals & Mining,Small Cap,3760.28,26.82,0.86,0.0,242.3323063,7.78,3.4588
Inox Green Energy Services,Construction,Small Cap,3602.55,584.29,2.74,0.0,44.851127,0.21,0.8877
HMA Agro Industries,Food Products,Small Cap,3733.24,33.89,5.57,0.38,13.37385,2.2,13.9349
Kirloskar Industries,Metals & Mining,Small Cap,4078.94,23.58,1.01,0.27,4100.8502275,174.87,4.7575
Kaveri Seed Company,Food Products,Small Cap,3775.0,13.31,2.28,0.59,296.1286309,50.7,18.71
HMA Agro Industries,Food Products,Small Cap,3733.24,33.89,5.57,0.38,13.37385,2.2,13.9349
Imagicaaworld Entertainment,Hotels & Leisure,Small Cap,4063.86,10.8,5.18,0.0,16.2854425,7.81,46.007
Tata Steel Long Products,Metals & Mining,Small Cap,3740.82,0.0,1.99,0.0,417.5875831,-131.55,-31.5023
Sai Silks (Kalamandir),Specialty Retail,Small Cap,3643.21,39.46,3.65,0.0,65.1292003,6.02,9.1937
Bharat Rasayan,Chemicals,Small Cap,3688.09,62.88,4.07,0.02,2180.121157,141.15,8.512
Thanga Mayil Jewellery,Specialty Retail,Small Cap,3662.58,29.06,8.19,0.45,163.0768211,45.93,24.9849
LG Balakrishnan & Bros,Machinery,Small Cap,3708.07,14.38,2.52,1.35,468.3607391,82.15,17.5127
Greaves Cotton,Machinery,Small Cap,3803.64,0.0,2.77,0.55,59.2370766,-4.79,13.7061
Apollo Micro Systems,Aerospace & Defense,Small Cap,3389.72,133.39,7.25,0.02,16.5480738,0.9,5.685
Prime Focus,Entertainment,Small Cap,3580.87,0.0,7.25,0.0,16.4823631,-6.01,-21.9448
Harsha Engineers International,Machinery,Small Cap,3699.58,34.49,3.33,0.25,122.1137936,11.78,9.8339
Brightcom Group,Media,Small Cap,3668.58,2.59,0.52,0.55,34.6930893,7.01,19.5831
Kolte-Patil Developers,,Small Cap,3737.9,49.73,3.6,0.81,136.5992345,9.89,10.8148
Orchid Pharma,Pharmaceuticals,Mid Cap,5530.41,46.96,4.99,0.0,218.4266866,23.22,5.7319
DCX Systems,Aerospace & Defense,Small Cap,3610.03,42.98,3.31,0.0,97.9903695,7.54,14.8242
